Suburb,Year,Offences per suburb
middleton,2015,32
middleton,2016,24
mil lel,2016,1
milang,2015,10
milang,2016,21
mile end,2015,191
mile end,2016,216
mile end south,2015,33
mile end south,2016,21
millbrook,2015,2
millbrook,2016,1
millicent,2015,81
millicent,2016,162
millswood,2015,32
millswood,2016,26
mimili,2015,38
mimili,2016,24
mindarie,2015,1
mindarie,2016,1
mingbool,2015,1
mingbool,2016,3
minlaton,2015,4
minlaton,2016,5
minnipa,2016,4
mintabie,2015,9
mintabie,2016,9
mintaro,2015,1
mintaro,2016,1
miranda,2015,1
mitcham,2015,19
mitcham,2016,31
mitchell park,2015,181
mitchell park,2016,232
moana,2015,47
moana,2016,55
mobilong,2016,1
moculta,2015,3
moculta,2016,1
modbury,2015,439
modbury,2016,416
modbury heights,2015,87
modbury heights,2016,121
modbury north,2015,117
modbury north,2016,104
monarto,2015,11
monarto,2016,8
monarto south,2015,6
monarto south,2016,3
monash,2015,17
monash,2016,11
montacute,2015,6
montacute,2016,2
monteith,2015,3
moonta,2015,50
moonta,2016,20
moonta bay,2015,31
moonta bay,2016,31
moonta mines,2015,1
moonta mines,2016,1
moorak,2015,9
moorak,2016,5
moorlands,2015,1
moorook,2015,7
moorook,2016,5
moorook south,2015,1
morchard,2015,1
morgan,2015,29
morgan,2016,29
morphett vale,2015,801
morphett vale,2016,852
morphettville,2015,105
morphettville,2016,109
mount barker,2015,447
mount barker,2016,430
mount barker springs,2015,2
mount benson,2015,1
mount benson,2016,1
mount bryan,2015,2
mount bryan,2016,2
mount bryan east,2015,1
mount burr,2015,6
mount burr,2016,4
mount compass,2015,14
mount compass,2016,17
mount crawford,2016,5
mount gambier,2015,823
mount gambier,2016,774
mount george,2015,2
mount jagged,2016,2
mount light,2015,1
mount mary,2015,1
mount mary,2016,1
mount mcintyre,2016,3
mount osmond,2015,4
mount osmond,2016,3
mount pleasant,2015,11
mount pleasant,2016,10
mount schank,2015,3
mount schank,2016,4
mount templeton,2015,2
mount templeton,2016,2
mount torrens,2015,4
mount torrens,2016,9
mount willoughby,2015,1
mount willoughby,2016,1
mulgundawa,2015,1
mullaquana,2015,2
mullaquana,2016,9
mundoora,2015,1
mundoora,2016,4
mundulla,2015,8
mundulla,2016,7
mundulla west,2015,1
munno para,2015,215
munno para,2016,347
munno para downs,2015,5
munno para downs,2016,13
munno para west,2015,199
munno para west,2016,170
murbko,2016,2
murputja,2016,2
murrawong,2015,2
murray bridge,2015,803
murray bridge,2016,712
murray bridge east,2015,11
murray bridge east,2016,11
murray bridge north,2015,1
murray bridge north,2016,2
murray bridge south,2015,3
murray bridge south,2016,3
murray town,2015,1
murtho,2016,1
mylor,2015,10
mylor,2016,10
mypolonga,2015,2
mypolonga,2016,8
myponga,2015,13
myponga,2016,14
myponga beach,2016,1
myrtle bank,2015,32
myrtle bank,2016,34
nackara,2015,1
nailsworth,2015,69
nailsworth,2016,59
nairne,2015,56
nairne,2016,59
nangkita,2015,1
nangkita,2016,4
nangwarry,2015,11
nangwarry,2016,8
nantawarra,2016,3
napperby,2015,13
napperby,2016,12
naracoorte,2015,81
naracoorte,2016,89
narrung,2015,3
narrung,2016,2
neales flat,2015,1
neales flat,2016,1
nelshaby,2015,1
nelshaby,2016,1
nene valley,2016,2
nepabunna,2015,2
nepean bay,2015,2
nepean bay,2016,6
netherby,2015,20
netherby,2016,16
netley,2015,26
netley,2016,47
new port,2015,15
new port,2016,26
new residence,2016,1
new town,2016,2
new well,2016,1
newland,2015,2
newland,2016,2
newton,2015,98
newton,2016,108
ngapala,2016,3
nildottie,2015,1
ninnes,2015,1
noarlunga centre,2015,350
noarlunga centre,2016,380
noarlunga downs,2015,149
noarlunga downs,2016,127
normanville,2015,13
normanville,2016,20
north adelaide,2015,242
north adelaide,2016,295
north beach,2015,10
north beach,2016,5
north booborowie,2015,1
north brighton,2015,45
north brighton,2016,52
north haven,2015,102
north haven,2016,96
north moonta,2015,4
north moonta,2016,4
north plympton,2015,57
north plympton,2016,50
north shields,2015,4
north shields,2016,5
north yelta,2016,1
northern heights,2015,1
northern heights,2016,3
northfield,2015,176
northfield,2016,171
northgate,2015,158
northgate,2016,141
norton summit,2015,5
norton summit,2016,6
norwood,2015,221
norwood,2016,191
not disclosed,2015,986
not disclosed,2016,985
novar gardens,2015,31
novar gardens,2016,34
nullarbor,2015,3
nullarbor,2016,2
nundroo,2015,1
nundroo,2016,3
nuriootpa,2015,137
nuriootpa,2016,125
nurom,2016,2
nurragi,2015,1
nurragi,2016,1
nyapari,2015,3
nyapari,2016,3
o'halloran hill,2015,70
o'halloran hill,2016,38
o'sullivan beach,2015,68
o'sullivan beach,2016,58
oak valley,2015,4
oak valley,2016,2
oakbank,2015,13
oakbank,2016,15
oakden,2015,63
oakden,2016,69
oaklands park,2015,444
oaklands park,2016,530
ob flat,2015,2
olary,2016,2
old calperum,2016,1
old noarlunga,2015,63
old noarlunga,2016,49
old reynella,2015,91
old reynella,2016,93
olympic dam,2015,1
olympic dam,2016,5
one tree hill,2015,24
one tree hill,2016,25
onkaparinga hills,2015,39
onkaparinga hills,2016,24
oodla wirra,2015,1
oodla wirra,2016,2
oodnadatta,2015,16
oodnadatta,2016,15
orroroo,2015,2
orroroo,2016,5
osborne,2015,67
osborne,2016,79
ottoway,2015,98
ottoway,2016,99
outer harbor,2015,6
outer harbor,2016,3
overland corner,2015,3
ovingham,2015,41
ovingham,2016,43
owen,2015,6
owen,2016,2
padthaway,2015,5
padthaway,2016,8
pages flat,2015,2
paisley,2015,1
paisley,2016,6
pallamana,2015,1
palmer,2015,6
palmer,2016,3
panorama,2015,35
panorama,2016,35
para hills,2015,185
para hills,2016,256
para hills west,2015,101
para hills west,2016,141
para vista,2015,74
para vista,2016,76
parachilna,2016,1
paracombe,2015,1
paracombe,2016,3
paradise,2015,110
paradise,2016,115
parafield,2015,120
parafield,2016,92
parafield gardens,2015,533
parafield gardens,2016,456
paralowie,2015,504
paralowie,2016,473
parawa,2016,6
parham,2015,1
parilla,2015,6
parilla,2016,3
paringa,2015,21
paringa,2016,25
paris creek,2015,1
park holme,2015,119
park holme,2016,102
parkside,2015,61
parkside,2016,73
parndana,2015,8
parndana,2016,6
parrakie,2015,1
parrakie,2016,1
paruna,2015,3
paruna,2016,2
pasadena,2015,92
pasadena,2016,99
paskeville,2015,3
paskeville,2016,2
pata,2016,2
payneham,2015,38
payneham,2016,42
payneham south,2015,14
payneham south,2016,24
peake,2015,1
peake,2016,1
peebinga,2015,1
peebinga,2016,1
pekina,2015,1
pekina,2016,1
pelican lagoon,2016,1
pelican point,2015,2
pelican point,2016,1
pellaring flat,2016,1
penfield,2015,29
penfield,2016,22
penfield gardens,2015,8
penfield gardens,2016,12
penneshaw,2015,7
penneshaw,2016,8
pennington,2015,199
pennington,2016,175
penola,2015,15
penola,2016,25
penong,2015,12
penong,2016,4
penrice,2015,1
penwortham,2015,1
penwortham,2016,1
pernatty,2015,1
perponda,2016,1
peterborough,2015,51
peterborough,2016,54
peterhead,2015,23
peterhead,2016,34
petherick,2016,3
petwood,2015,1
petwood,2016,3
pewsey vale,2015,1
piccadilly,2015,3
piccadilly,2016,2
pimba,2015,4
pine hill,2016,1
pine point,2016,1
pinnaroo,2015,17
pinnaroo,2016,16
pipalyatjara,2015,22
pipalyatjara,2016,29
plympton,2015,154
plympton,2016,171
plympton park,2015,78
plympton park,2016,91
point lowly,2016,2
point pearce,2015,4
point pearce,2016,5
point sturt,2015,3
point turton,2015,2
point turton,2016,5
pompoota,2016,1
ponde,2015,2
poonindie,2015,3
poonindie,2016,2
pooraka,2015,309
pooraka,2016,393
port adelaide,2015,324
port adelaide,2016,377
port augusta,2015,773
port augusta,2016,904
port augusta west,2015,201
port augusta west,2016,197
port bonython,2016,2
port broughton,2015,15
port broughton,2016,14
port elliot,2015,36
port elliot,2016,46
port flinders,2016,1
port gawler,2015,2
port gawler,2016,6
port germein,2015,6
port germein,2016,7
port hughes,2015,9
port hughes,2016,3
port julia,2015,1
port julia,2016,1
port kenny,2015,2
port kenny,2016,4
port lincoln,2015,587
port lincoln,2016,758
port macdonnell,2015,5
port macdonnell,2016,12
port moorowie,2015,1
port moorowie,2016,1
port neill,2015,2
port neill,2016,2
port noarlunga,2015,95
port noarlunga,2016,97
port noarlunga south,2015,62
port noarlunga south,2016,40
port pirie,2015,214
port pirie,2016,208
port pirie south,2015,93
port pirie south,2016,65
port pirie west,2015,86
port pirie west,2016,108
port rickaby,2016,4
port victoria,2015,7
port victoria,2016,7
port vincent,2015,1
port vincent,2016,3
port wakefield,2015,16
port wakefield,2016,22
port willunga,2015,38
port willunga,2016,39
price,2015,1
price,2016,5
prospect,2015,494
prospect,2016,433
prospect hill,2015,4
prospect hill,2016,4
pukatja,2015,82
pukatja,2016,78
purnong,2015,2
purnong,2016,1
pyap,2015,1
pyap,2016,2
pyap west,2015,1
qualco,2016,2
queenstown,2015,93
queenstown,2016,74
quorn,2015,25
quorn,2016,15
ramco,2015,11
ramco,2016,6
ramsay,2015,1
rapid bay,2015,2
rapid bay,2016,3
raukkan,2015,2
redbanks,2015,2
redhill,2015,5
redhill,2016,3
redwood park,2015,67
redwood park,2016,74
reeves plains,2015,5
reeves plains,2016,5
regency park,2015,40
regency park,2016,40
reid,2015,5
reid,2016,1
rendelsham,2016,2
renmark,2015,250
renmark,2016,257
renmark north,2015,3
renmark north,2016,5
renmark south,2015,1
renmark south,2016,6
renmark west,2015,13
renmark west,2016,9
renown park,2015,70
renown park,2016,64
reynella,2015,156
reynella,2016,223
reynella east,2015,32
reynella east,2016,23
rhynie,2015,2
rhynie,2016,2
richmond,2015,92
richmond,2016,85
ridgehaven,2015,113
ridgehaven,2016,104
ridleyton,2015,105
ridleyton,2016,97
risdon park,2015,91
risdon park,2016,81
risdon park south,2015,32
risdon park south,2016,15
riverglades,2015,7
riverglades,2016,8
riverton,2015,25
riverton,2016,9
robe,2015,19
robe,2016,22
robertstown,2015,8
robertstown,2016,6
rockleigh,2015,1
rockleigh,2016,1
rocky camp,2016,4
rocky gully,2016,3
rogues point,2015,1
rose park,2015,36
rose park,2016,25
rosedale,2015,3
rosedale,2016,4
rosetown,2016,1
rosewater,2015,159
rosewater,2016,178
roseworthy,2015,18
roseworthy,2016,9
rosslyn park,2015,10
rosslyn park,2016,4
rostrevor,2015,97
rostrevor,2016,61
rowland flat,2015,8
rowland flat,2016,4
roxby downs,2015,43
roxby downs,2016,55
royal park,2015,176
royal park,2016,126
royston park,2015,14
royston park,2016,27
rudall,2015,1
saddleworth,2015,17
saddleworth,2016,15
saint peters,2016,1
salisbury,2015,824
salisbury,2016,650
salisbury downs,2015,337
salisbury downs,2016,295
salisbury east,2015,249
salisbury east,2016,215
salisbury heights,2015,99
salisbury heights,2016,94
salisbury north,2015,514
salisbury north,2016,430
salisbury park,2015,78
salisbury park,2016,63
salisbury plain,2015,73
salisbury plain,2016,62
salisbury south,2015,24
salisbury south,2016,25
salt creek,2015,4
salt creek,2016,2
sampson flat,2015,5
sampson flat,2016,2
sandalwood,2015,3
sandergrove,2015,1
sandleton,2015,1
sandy creek,2015,2
sandy creek,2016,6
sandy grove,2015,1
scott creek,2015,3
scott creek,2016,3
seacliff,2015,53
seacliff,2016,53
seacliff park,2015,24
seacliff park,2016,55
seacombe gardens,2015,140
seacombe gardens,2016,121
seacombe heights,2015,25
seacombe heights,2016,27
seaford,2015,227
seaford,2016,209
seaford heights,2016,6
seaford meadows,2015,179
seaford meadows,2016,151
seaford rise,2015,95
seaford rise,2016,72
seaton,2015,420
seaton,2016,325
seaview downs,2015,64
seaview downs,2016,76
sebastopol,2016,1
second valley,2015,3
second valley,2016,12
sedan,2015,2
sedan,2016,6
seddon,2016,1
sefton park,2015,94
sefton park,2016,78
sellicks beach,2015,50
sellicks beach,2016,42
sellicks hill,2015,7
sellicks hill,2016,4
semaphore,2015,186
semaphore,2016,153
semaphore park,2015,168
semaphore park,2016,155
semaphore south,2015,35
semaphore south,2016,30
sevenhill,2015,3
sevenhill,2016,1
shea-oak log,2015,2
sheidow park,2015,73
sheidow park,2016,96
sheringa,2016,2
sherlock,2015,1
sherlock,2016,1
silverton,2016,2
skye,2015,4
skye,2016,3
sleaford,2015,2
sleaford,2016,1
smithfield,2015,449
smithfield,2016,400
smithfield plains,2015,129
smithfield plains,2016,150
smoky bay,2015,4
smoky bay,2016,10
snowtown,2015,13
snowtown,2016,14
solomontown,2015,16
solomontown,2016,20
somerton park,2015,138
somerton park,2016,109
south brighton,2015,37
south brighton,2016,48
south hummocks,2015,1
south kilkerran,2016,1
south plympton,2015,120
south plympton,2016,150
southend,2015,3
spalding,2015,12
spalding,2016,19
springfield,2015,5
springfield,2016,3
springton,2015,5
springton,2016,8
st agnes,2015,69
st agnes,2016,84
st clair,2015,115
st clair,2016,92
st georges,2015,10
st georges,2016,9
st johns,2016,1
st kilda,2015,13
st kilda,2016,12
st kitts,2015,2
st kitts,2016,1
st marys,2015,107
st marys,2016,113
st morris,2015,20
st morris,2016,18
st peters,2015,78
st peters,2016,79
stanley flat,2015,2
stanley flat,2016,4
stansbury,2015,21
stansbury,2016,13
steinfeld,2015,2
stepney,2015,33
stepney,2016,51
stewart range,2015,1
stirling,2015,73
stirling,2016,37
stirling north,2015,54
stirling north,2016,35
stockport,2015,5
stockport,2016,1
stockwell,2015,3
stockwell,2016,5
stockyard plain,2016,1
stokes bay,2015,2
stokes bay,2016,2
stonyfell,2015,4
stonyfell,2016,24
strathalbyn,2015,95
strathalbyn,2016,77
streaky bay,2015,12
streaky bay,2016,16
sturt,2015,95
sturt,2016,95
sultana point,2016,5
summertown,2015,5
summertown,2016,4
sunlands,2015,15
sunlands,2016,18
sunnydale,2015,1
surrey downs,2015,76
surrey downs,2016,82
sutherlands,2016,2
suttontown,2015,4
swan reach,2015,2
swan reach,2016,4
swanport,2016,1
tailem bend,2015,76
tailem bend,2016,76
tantanoola,2015,3
tantanoola,2016,5
tanunda,2015,55
tanunda,2016,62
taperoo,2015,166
taperoo,2016,175
tarcowie,2015,2
tarlee,2015,8
tarlee,2016,9
tarnma,2015,2
tarnma,2016,1
tarpeena,2015,7
tarpeena,2016,15
tatachilla,2015,5
tatachilla,2016,1
taylorville,2016,1
tea tree gully,2015,71
tea tree gully,2016,48
telowie,2015,4
telowie,2016,2
tennyson,2015,27
tennyson,2016,21
tepko,2015,1
tepko,2016,1
teringie,2015,3
teringie,2016,3
terowie,2015,6
terowie,2016,2
the pines,2015,1
the range,2015,1
thebarton,2015,74
thebarton,2016,79
thevenard,2015,49
thevenard,2016,53
thompson beach,2015,4
thompson beach,2016,7
thorngate,2015,2
thorngate,2016,1
thornlea,2015,2
tiatukia,2015,1
tiatukia,2016,2
tickera,2015,1
tickera,2016,1
tintinara,2015,9
tintinara,2016,9
tooperang,2015,2
tooperang,2016,3
toorak gardens,2015,22
toorak gardens,2016,25
torrens island,2015,1
torrens park,2015,39
torrens park,2016,39
torrensville,2015,192
torrensville,2016,207
tothill creek,2016,1
totness,2015,8
totness,2016,7
towitta,2015,1
tranmere,2015,59
tranmere,2016,85
trinity gardens,2015,27
trinity gardens,2016,18
trott park,2015,32
trott park,2016,27
truro,2015,18
truro,2016,11
tumby bay,2015,16
tumby bay,2016,10
tungkillo,2015,12
tungkillo,2016,7
tunkalilla,2016,1
tusmore,2015,15
tusmore,2016,24
two wells,2015,47
two wells,2016,52
uleybury,2015,8
uleybury,2016,8
umuwa,2016,5
underdale,2015,82
underdale,2016,81
ungarra,2015,1
unley,2015,99
unley,2016,84
unley park,2015,28
unley park,2016,20
upper hermitage,2015,4
upper hermitage,2016,2
upper sturt,2015,7
upper sturt,2016,5
uraidla,2015,2
uraidla,2016,6
urrbrae,2015,13
urrbrae,2016,13
vale park,2015,28
vale park,2016,36
valley view,2015,132
valley view,2016,103
verdun,2015,7
victor harbor,2015,149
victor harbor,2016,122
vine vale,2015,1
virginia,2015,41
virginia,2016,58
vista,2015,9
vista,2016,13
vivonne bay,2015,1
vivonne bay,2016,4
waikerie,2015,106
waikerie,2016,106
waitpinga,2015,4
waitpinga,2016,7
walker flat,2015,5
walkerville,2015,68
walkerville,2016,83
walkley heights,2015,47
walkley heights,2016,50
wall flat,2015,1
wall flat,2016,2
wallaroo,2015,71
wallaroo,2016,74
wallaroo mines,2015,5
wallaroo mines,2016,3
wanbi,2015,2
wandearah east,2015,2
wandilo,2015,7
wandilo,2016,7
wangary,2015,2
wangary,2016,1
ward belt,2015,2
ward belt,2016,2
warnertown,2015,2
warnertown,2016,1
warooka,2015,3
warooka,2016,5
warrachie,2016,1
warradale,2015,137
warradale,2016,110
wasleys,2015,6
wasleys,2016,7
waterfall gully,2015,3
waterfall gully,2016,4
waterloo,2016,1
waterloo corner,2015,35
waterloo corner,2016,24
watervale,2015,4
watervale,2016,2
wattle flat,2015,1
wattle flat,2016,1
wattle park,2015,8
wattle park,2016,20
wattle range,2015,1
wattle range,2016,1
wauraltee,2015,1
wauraltee,2016,5
wayville,2015,64
wayville,2016,65
webb beach,2016,3
weeroona island,2015,2
weeroona island,2016,1
weetulta,2016,3
welland,2015,75
welland,2016,76
wellington,2015,4
wellington,2016,3
wellington east,2015,1
wellington east,2016,1
west beach,2015,126
west beach,2016,137
west croydon,2015,107
west croydon,2016,98
west hindmarsh,2015,57
west hindmarsh,2016,44
west lakes,2015,249
west lakes,2016,272
west lakes shore,2015,59
west lakes shore,2016,91
west richmond,2015,24
west richmond,2016,31
westbourne park,2015,27
westbourne park,2016,34
white hill,2015,7
white hill,2016,4
white sands,2015,1
white sands,2016,1
whites flat,2016,1
whites valley,2015,3
whites valley,2016,4
whyalla,2015,139
whyalla,2016,141
whyalla barson,2015,3
whyalla barson,2016,8
whyalla jenkins,2015,56
whyalla jenkins,2016,41
whyalla norrie,2015,408
whyalla norrie,2016,487
whyalla playford,2015,92
whyalla playford,2016,87
whyalla stuart,2015,500
whyalla stuart,2016,475
whyte yarcowie,2015,1
whyte yarcowie,2016,1
wigley flat,2016,1
wild horse plains,2015,7
wild horse plains,2016,5
willalooka,2015,1
willamulka,2015,1
willaston,2015,104
willaston,2016,78
william creek,2016,1
williamstown,2015,24
williamstown,2016,34
willochra,2016,1
willow creek,2016,1
willowie,2015,1
willunga,2015,36
willunga,2016,18
willunga south,2015,1
willunga south,2016,2
wilmington,2015,6
wilmington,2016,3
windsor,2015,3
windsor,2016,4
windsor gardens,2015,165
windsor gardens,2016,195
wingfield,2015,122
wingfield,2016,95
winkie,2015,2
winkie,2016,4
winninowie,2015,1
winninowie,2016,1
wirrabara,2015,2
wirrabara,2016,2
wirraminna,2016,1
wirrega,2015,3
wirrega,2016,1
wirrina cove,2015,7
wirrina cove,2016,8
wirrulla,2015,1
wirrulla,2016,2
wisanger,2015,5
wisanger,2016,5
wistow,2015,8
wistow,2016,3
wokurna,2016,1
wolseley,2015,3
wolseley,2016,4
wongulla,2015,1
wongulla,2016,5
wongyarra,2015,1
woodchester,2015,1
woodchester,2016,2
woodcroft,2015,171
woodcroft,2016,121
woodforde,2015,6
woodforde,2016,5
woodlane,2016,1
woodleigh,2015,1
woodleigh,2016,1
woods point,2015,2
woods point,2016,1
woodside,2015,40
woodside,2016,26
woodville,2015,193
woodville,2016,157
woodville gardens,2015,137
woodville gardens,2016,110
woodville north,2015,134
woodville north,2016,154
woodville park,2015,73
woodville park,2016,81
woodville south,2015,104
woodville south,2016,84
woodville west,2015,100
woodville west,2016,80
wool bay,2015,2
wool bay,2016,1
woolpunda,2015,1
woolshed flat,2015,1
woomera,2015,7
woomera,2016,5
worrolong,2015,1
worrolong,2016,5
wrattonbully,2016,1
wudinna,2015,4
wudinna,2016,8
wunkar,2015,3
wunkar,2016,1
wye,2015,1
wye,2016,1
wynarka,2015,2
wynn vale,2015,92
wynn vale,2016,116
yacka,2016,2
yahl,2015,13
yahl,2016,9
yalata,2015,24
yalata,2016,28
yallunda flat,2015,1
yamba,2015,3
yamba,2016,2
yaninee,2015,1
yankalilla,2015,13
yankalilla,2016,13
yanyarrie,2015,1
yatala vale,2015,1
yatala vale,2016,9
yattalunga,2015,2
yattalunga,2016,2
yongala,2015,6
yorketown,2015,13
yorketown,2016,5
younghusband,2015,1
younghusband,2016,1
younghusband holdings,2015,1
yundi,2015,3
yundi,2016,4
yunta,2015,5
yunta,2016,3
NA,2015,72
NA,2016,48
NA,NA,NA
